split,class_id,class_name,precision,recall,f1,AP50,mAP50_95
validation,0,Dead,1.0,0.9753656834020549,0.9875292373432756,0.985,0.9666490231990232
validation,1,Grass,0.9841137608990348,1.0,0.9919932821322872,0.995,0.9253090444122591
validation,2,Healthy,0.9946704354178523,0.9923019924254899,0.9934848023464199,0.9948788314772947,0.9889910347497409
validation,3,Small,0.9967836000043592,0.9838028169014085,0.9902506703620114,0.9948467436389635,0.9427632247095457
validation,4,Yellow,1.0,0.9916195965225648,0.9957921665904134,0.995,0.9833484891140019
test,0,Dead,0.9952378868170719,1.0,0.9976132604465902,0.995,0.9856500638569605
test,1,Grass,0.9726856035469875,0.9833333333333333,0.9779804875986499,0.9918333333333333,0.9067742481427195
test,2,Healthy,0.99372698765379,0.9944084688638678,0.9940676114617973,0.994880798272015,0.9889833353314701
test,3,Small,0.9982253803907255,0.9816772127073271,0.9898821411636471,0.9947947078335799,0.9414095412792788
test,4,Yellow,0.993856385067779,1.0,0.9969187274578895,0.995,0.973218630552074
