Metric,Seed 42,Seed 123,Seed 256,Mean,Std,Mean±Std
Precision (val),0.9006,0.9316,0.9189,0.9170,0.0156,0.9170 $\pm$ 0.0156
Recall (val),0.9399,0.9297,0.9167,0.9288,0.0116,0.9288 $\pm$ 0.0116
F1 (val),0.9198,0.9306,0.9178,0.9227,0.0069,0.9227 $\pm$ 0.0069
mAP@0.50 (val),0.9669,0.9584,0.9617,0.9623,0.0043,0.9623 $\pm$ 0.0043
mAP@[0.5:0.95] (val),0.7163,0.7201,0.7129,0.7164,0.0036,0.7164 $\pm$ 0.0036
Precision (test),0.9242,0.9111,0.9288,0.9214,0.0092,0.9214 $\pm$ 0.0092
Recall (test),0.8916,0.9177,0.9038,0.9044,0.0130,0.9044 $\pm$ 0.0130
F1 (test),0.9076,0.9144,0.9161,0.9127,0.0045,0.9127 $\pm$ 0.0045
mAP@0.50 (test),0.9527,0.9580,0.9549,0.9552,0.0027,0.9552 $\pm$ 0.0027
mAP@[0.5:0.95] (test),0.6778,0.6905,0.6884,0.6856,0.0069,0.6856 $\pm$ 0.0069
